Cargo,Local,Empresa,Descrição,Link
Engenheiro de Dados Sênior,"São Paulo, SP",Vitta,Conhecimentos em modelagem de dados;Conhecimento em bancos de dados estruturados;Ter a oportunidade de impactar a saúde de milhões de brasileiros.,https://www.indeed.com/rc/clk?jk=c3fa1cf6d2fc98f3&fccid=4aa6d5020bf6680b&vjs=3
Estágio em Engenharia de Dados,"Campinas, SP",SiDi,Atuar no desenvolvimento e arquitetura de pipelines de engenharia de dados.Vontade de se desenvolver profissionalmente prezando pela busca constante de novas…,https://www.indeed.com/rc/clk?jk=01d436c7066cb687&fccid=d944f1c7c41daa58&vjs=3
Engenheiro(a) de Dados Data science sênior,"São Paulo, SP",GeekHunter,"Trabalhar próximo aos demais engenheiros de backend, cientistas de dados, analistas de dados, product owners e analistas de qualidade;O que você irá fazer?",https://www.indeed.com/rc/clk?jk=4d420a2e1b9d29b7&fccid=9ba8dec3013c0c90&vjs=3
Engenheiro de Dados,"São Paulo, SP",MJV,"Além disso, vai realizar a avaliação da estruturação de dados atual e futura, proposição e desenvolvimento de uma estrutura de dados futuros e melhorias de…",https://www.indeed.com/rc/clk?jk=7cdbf85b3a68d66c&fccid=731c0a79a35d82c0&vjs=3
Analista Engenharia de Dados Sênior,"São Paulo, SP",Conquest One,"Desenvolvimento de pipeline de dados na nuvem.Entendimento de demanda de diversas áreas da empresa.Conhecimentos em banco de dados, com SQL avançado e…",https://www.indeed.com/rc/clk?jk=b3363dd26e446587&fccid=feb8ee460433af19&vjs=3
Engenheiro(a) de Dados Data science,"São Paulo, SP",GeekHunter,"Trabalhar próximo aos demais engenheiros de backend, cientistas de dados, analistas de dados, product owners e analistas de qualidade;O que você irá fazer?",https://www.indeed.com/rc/clk?jk=22d2db82d275dde1&fccid=9ba8dec3013c0c90&vjs=3
Engenheiro de Dados Pleno,"São Paulo, SP",Vitta,Conhecimentos em modelagem de dados;Conhecimento em bancos de dados estruturados;Ter a oportunidade de impactar a saúde de milhões de brasileiros.,https://www.indeed.com/rc/clk?jk=98e8e2c783a6ee16&fccid=4aa6d5020bf6680b&vjs=3
Engenheiro (a) de Dados - São Carlos,"São Paulo, SP",Newik,Acompanhar release de pacotes de aplicações.Contribuir na definição das camadas de dados e seu respectivo uso;Temos vagas para nível júnior e pleno!,https://www.indeed.com/rc/clk?jk=2852aeaeed6a377d&fccid=6757e1b0f3732989&vjs=3
Engenheiro de Dados de Qualidade (DEQ) e Governança de Dados...,"São Paulo, SP",INEX,"Conhecimento das ferramentas Informatica DEQ e EDC (10.4.1).Conhecimento da ferramenta Informatica Data Engineering Quality (DEQ 10.4.1): Profile, Score Cards,…",https://www.indeed.com/rc/clk?jk=52f34f413da0252b&fccid=f357291e811c9693&vjs=3
Engenheiro de Dados Sênior,"Belo Horizonte, MG",Core Synesis Ltda,"A carteira de clientes se caracteriza por um alto grau de Fidelização e um índice de satisfação em torno de 90%, conforme pesquisas realizadas.",https://www.indeed.com/company/CORE-SYNESIS/jobs/Engenheiro-Dados-S%C3%AAnior-ed777d80c5b541f9?fccid=587b4610cdba70b3&vjs=3
Engenheiro de Dados de Integração (Desenvolvedor ETL),"São Paulo, SP",INEX,"Conhecimento em criptografia/mascaramento de dados, LGPD, conceitos de camada de dados bruto, confiável e refinado.",https://www.indeed.com/rc/clk?jk=cf24e5268b1bb87d&fccid=f357291e811c9693&vjs=3
Engenheiro de Dados Sênior,"São Paulo, SP",Indra,Opção de inclusão de dependentes no Gympass (até 03 dependentes - pago via cartão de crédito).Opção de inclusão de dependentes no Plano de Saúde com desconto…,https://www.indeed.com/rc/clk?jk=c4cf89061d3ff939&fccid=7ebf81831a412784&vjs=3
Engenheiro de Dados Sr.,"São Paulo, SP",3CON,§ Experiência no desenvolvimento de processos de ingestão de dados.Estamos em busca de um(a) Engenheiro de Dados Sr. para atuar em uma das maiores empresas do…,https://www.indeed.com/rc/clk?jk=3f3135b2f9bd4fe2&fccid=c44f748d83bc1f71&vjs=3
Engenheiro(a) de Dados,"São Paulo, SP",Centro de Excelência Votorantim BR,Soluções de armazenamento de dados.Conhecimento dos princípios de Segurança da Informação para garantir o tratamento e o gerenciamento de dados em conformidade…,https://www.indeed.com/rc/clk?jk=66dcd925166ca2a3&fccid=7de668657fe22211&vjs=3
Engenheiro de Dados Sr - Python,"São Paulo, SP",Indra,"Bons conhecimentos em soluções de integração de dados (APIs, softwares, técnicas);Excelente conhecimento em bancos de dados relacionais e não-relacionais;",https://www.indeed.com/rc/clk?jk=f9c15613de83274d&fccid=7ebf81831a412784&vjs=3
Engenheiro de Dados,"Porto Alegre, RS",Deliver IT,"Estamos em busca de um Engenheiro (a) de Dados para atuar junto com um time ágil e criativo, em empresa líder no segmento de soluções de pagamento.",https://www.indeed.com/rc/clk?jk=8b942ff4b6d21aab&fccid=1a0ae0a532221730&vjs=3
Engenheiro de Dados,"São Paulo, SP",Indra,"Extrair, transformar e carregar (ETL) dados de um banco de dados para outro;Boa vivencia em Engenharia de dados;Conhecimento e experiência avançada com SQL.",https://www.indeed.com/rc/clk?jk=b5d9eb24e40830d0&fccid=7ebf81831a412784&vjs=3
Engenheiro de Dados - Sr (Big Data),"São Paulo, SP",Indra,"Vivencia com Splunk Enterprise, ingestões, criação de painéis, otimização de consultas, melhorias de performance, criação de comandos em python.",https://www.indeed.com/rc/clk?jk=148492085d1f77b1&fccid=7ebf81831a412784&vjs=3
Engenheiro de Dados,"Porto Alegre, RS",Stefanini,Projeto digital em uma empresa de Adquirência que estão construindo uma plataforma global de pagamentos que será responsável por prover funcionalidades multi…,https://www.indeed.com/rc/clk?jk=1a5df975791e39ee&fccid=b5f60e05a12127f4&vjs=3
Tech Lead Engenharia de Dados,"São Paulo, SP",Comunidade Cognitivo.ai,A posição de Tech Lead de engenharia de dados irá atuar nos projetos freelancer de forma 100% remota.Arquitetura e processos de carga de data lake.,https://www.indeed.com/rc/clk?jk=b8113ac90e66f6c5&fccid=3869f0773bcb2bd3&vjs=3
