Cargo,Local,Empresa,Descrição,Link
Analista de Dados,"Curitiba, PR",James Delivery,"Fornecer conhecimento técnico em estruturas de armazenamento de dados, mineração de dados e limpeza de dados.Garantir a qualidade de dados importados.",https://tinyurl.com/yc5aznhv
Analista/Cientista De Dados Pleno - BV,"São Paulo, SP",Buscar Vagas,"Desenvolvimento de automatizações utilizando Phython; Estruturação de base de dados para análise comerciais; Desenvolvimento de Dashboards, automação e análise…",https://tinyurl.com/yctyzqn7
Analista de Conversão de Dados,"Belo Horizonte, MG",AIX SISTEMAS LTDA,"Realizar reconstruções de base de dados, correções de erros e demais serviços relacionados aos bancos de dados..Experiência anterior: Migração de dados.",https://tinyurl.com/yaekfoje
Analista de Dados - Qualidade e Modelagem de Dados,"Belo Horizonte, MG",Hotmart,"Contribuir para a arquitetura de processamento de dados e manutenção de nossos pipelines de dados;Complementando suas atividades enquanto analista de dados,…",https://tinyurl.com/y7ahfys6
ANALISTA DE BANCO DE DADOS PLENO - DV,"Brasília, DF",Divulga Vagas,"2.Atualizar e manter o modelo de dados.Compartilhamento e integração dos dados; Profissional deve ser capaz de planejar, documentar, gerenciar e integrar os…",https://tinyurl.com/yd36aurr
Analista de Dados l - Data Center - Junior,"Blumenau, SC",Selecionar Talentos,"Suporte a equipe de desenvolvimento em padronizações de objetos e dicionários de dados;Responsabilidades Responsável por definir, propor e manter o modelo de…",https://tinyurl.com/y9yefgbz
Estágio – Analista De Dados – Porto Alegre – RS - BV,"Porto Alegre, RS",Buscar Vagas,"> Alimentar banco de dados com novas informações;Cursando alguma das áreas: Técnico de Informática, Graduação em: Análise de Sistemas Sistemas de Informação,…",https://tinyurl.com/ycx5wfh3
Analista de Dados,"Belo Horizonte, MG",JUSTWEB TELECOMUNICAÇÕES,"Ter conhecimento de banco de dados.Fazer extração de informações de banco de dados postgresql, mysql, sql, trazer ao excel.Tipo de vaga: Tempo Integral.",https://tinyurl.com/y8ofghzz
Analista de Dados - Excel,"Santana de Parnaíba, SP",Share RH,Realizar integração a de informações em banco de dados;Irá realizar a modelagem de dados dentro do Excel.Estamos à procura de um candidato para preencher esta…,https://tinyurl.com/y6pgdr3a
Analista de Suporte de Dados,"São Paulo, SP",Santa Marcelina Educação,"Gerar dados que contribuam para tomada de decisões estratégicas da diretoria;Coletar, compilar, analisar, normalizar dados, integrar múltiplas fontes de dados;",https://tinyurl.com/yy8vxda5
