Cargo,Local,Empresa,Descrição,Rating
ANALISTA DE DADOS,"São Paulo, SP",Taking,"
Modelar dados de diversas fontes/ sistemas diferentes.
As consultas aos dados em sua grande maioria feitas em data warehouse através de SQL;
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,+1 localHome office,Indra,"
O analista ira apoiar nas ações comerciais, através de segmentação de público para campanhas, avaliação de resultados das campanhas, geração de bases com foco…
Postado há 30+ dias·","3,8"
ANALISTA DE DADOS PLENO/SÊNIOR,"Home office in Belo Horizonte, MG",Robbyson Sytems S/A,"
Desenvolvimento de reports de dados;
Conhecimento em reports e visualização de dados;
Conhecimento em banco de dados não relacional;
EmployerAtiva 2 dias atrás·",Sem informacao
ANALISTA DE DADOS JÚNIOR,"Home office in São Paulo, SP",Valor Investimento,"
Tem familiaridade com sistemas de CRM e organização de dados;
Experiência em linguagem de programação Python;
Conhecimento básico de PHP, CSS e HTML.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS SQL (REMOTO),"Home office in Rio de Janeiro, RJ",GeekHunter,"
Criar, monitorar e fazer a manutenção de KPIs em diferentes bancos de dados.
O que você irá fazer?
Elaborar e analisar dashboards e relatórios gerenciais.
Postado há 3 dias·",Sem informacao
ANALISTA DE DADOS (BI - DATA ANALYTICS),Home office,Tem talento? Me mostre o que tem.,"
Estamos em busca de um analista de dados(data analytics) para compor o nosso time.
Bons conhecimentos técnicos de arquitetura de dados, diferentes estruturas de…
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS (BI),"Belo Horizonte, MG",TANGARÁ FOODS IMPORTADORA E EXPORTADORA S/A,"
Realizar através de técnicas consistentes o tratamento de grande volume de dados;
Atuação anterior com criações de Dash no Power BI e com tratamento de dados…
EmployerAtiva 13 dias atrás·",Sem informacao
ANALISTA DE DADOS II,"Brasília, DF",Experian,"
Portanto, acreditamos que trabalhar conectados como um time único e em um ambiente dinâmico e desafiador é extremamente importante para o crescimento pessoal e…
Postado há 9 dias·","3,6"
ANALISTA DE DADOS JÚNIOR (INDICADORES E FOLLOW-UP),"São Paulo, SP",Duratex,"
O nascimento da Hydra é marcado pela Inovação.
Experiência com SAP módulo MM (desejável);
Postado há 2 dias·","4,5"
ANALISTA DE DADOS - SUMARE,"Home office in São Paulo, SP",OEmprego,"
Suporte administrativo para o desenvolvimento de projetos em conjunto com o time operacional de planejamento.
Mandatório possuir conhecimento avançado em Excel,…
Postado há 1 dia·",Sem informacao
ANALISTA DE DADOS,"Itu, SP",Senior Sistemas,"
Experiência avançada em Power BI;
Conhecimento em processos de ETL (API, Json, SQL) voltado para Power BI;
Conhecimento em Ferramentas de ETL (Desejável Pentaho…
Postado há 10 dias·","4,0"
ANALISTA DE DADOS SÊNIOR - DATA ANALYTICS (ZAP+),Home office,OLX Brasil,"
Só nosso time de tecnologia conta com quase 400 pessoas com grandes desafios.
Projetar metas e resultados das principais métricas, apoiando-se no BAU (business…
Postado há 24 dias·","4,1"
ANALISTA DE DADOS JR,"Jaraguá do Sul, SC",Grupo Malwee,"
Pensar em melhorias para os processos já existentes na área, com base em dados coletados.
""O Grupo Malwee respeita e incentiva a diversidade e inclusão.
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS,"São Paulo, SP",Centro de Excelência Votorantim BR,"
Buscamos por analistas de dados para integrar o time do Centro de Excelência Votorantim na área de Data Analytics.
Postado há 17 dias·",Sem informacao
